FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.195882088,0.000861545,0.000000000,0.002631579
0.196669667,0.000861545,0.000000000,0.002631579
0.197457246,0.000861545,0.000000000,0.002631579
0.198244824,0.000861545,0.000000000,0.002631579
0.199032403,0.000861545,0.000000000,0.002631579
0.199819982,0.000861545,0.000000000,0.002631579
0.200607561,0.000861545,0.000000000,0.002631579
0.201395140,0.000861545,0.000000000,0.002631579
0.202182718,0.000861545,0.000000000,0.002631579
0.202970297,0.000861545,0.000000000,0.002631579
0.203757876,0.000861545,0.000000000,0.002631579
0.204545455,0.000861545,0.000000000,0.002631579
0.205333033,0.000861545,0.000000000,0.002631579
0.206120612,0.000861545,0.000000000,0.002631579
0.206908191,0.000861545,0.000000000,0.002631579
0.207695770,0.000861545,0.000000000,0.002631579
0.208483348,0.000861545,0.000000000,0.002631579
0.209270927,0.000861545,0.000000000,0.002631579
0.210058506,0.000861545,0.000000000,0.002631579
0.210846085,0.000861545,0.000000000,0.002631579
0.211633663,0.000861545,0.000000000,0.002631579
0.212421242,0.000861545,0.000000000,0.002631579
0.213208821,0.000861545,0.000000000,0.002631579
0.213996400,0.000861545,0.000000000,0.002631579
0.214783978,0.000861545,0.000000000,0.002631579
0.215571557,0.000861545,0.000000000,0.002631579
0.216359136,0.000861545,0.000000000,0.002631579
0.217146715,0.000861545,0.000000000,0.002631579
0.217934293,0.000861545,0.000000000,0.002631579
0.218721872,0.000861545,0.000000000,0.002631579
0.219509451,0.000861545,0.000000000,0.002631579
0.220297030,0.000861545,0.000000000,0.002631579
0.221084608,0.000861545,0.000000000,0.002631579
0.221872187,0.000861545,0.000000000,0.002631579
0.222659766,0.000861545,0.000000000,0.002631579
0.223447345,0.000861545,0.000000000,0.002631579
0.224234923,0.000861545,0.000000000,0.002631579
0.225022502,0.000861545,0.000000000,0.002631579
0.225810081,0.000861545,0.000000000,0.002631579
0.226597660,0.000861545,0.000000000,0.002631579
0.227385239,0.000861545,0.000000000,0.002631579
0.228172817,0.000861545,0.000000000,0.002631579
0.228960396,0.000861545,0.000000000,0.002631579
0.229747975,0.000861545,0.000000000,0.002631579
0.230535554,0.000861545,0.000000000,0.002631579
0.231323132,0.000861545,0.000000000,0.002631579
0.232110711,0.000861545,0.000000000,0.002631579
0.232898290,0.000861545,0.000000000,0.002631579
0.233685869,0.000861545,0.000000000,0.002631579
0.234473447,0.000861545,0.000000000,0.002631579
0.235261026,0.000861545,0.000000000,0.002631579
0.236048605,0.000861545,0.000000000,0.002631579
0.236836184,0.000861545,0.000000000,0.002631579
0.237623762,0.000861545,0.000000000,0.002631579
0.238411341,0.000861545,0.000000000,0.002631579
0.239198920,0.000861545,0.000000000,0.002631579
0.239986499,0.000861545,0.000000000,0.002631579
0.240774077,0.000861545,0.000000000,0.002631579
0.241561656,0.000861545,0.000000000,0.002631579
0.242349235,0.000861545,0.000000000,0.002631579
0.243136814,0.000861545,0.000000000,0.002631579
0.243924392,0.000861545,0.000000000,0.002631579
0.244711971,0.000861545,0.000000000,0.002631579
0.245499550,0.000861545,0.000000000,0.002631579
0.246287129,0.000861545,0.000000000,0.002631579
0.247074707,0.000861545,0.000000000,0.002631579
0.247862286,0.000861545,0.000000000,0.002631579
0.248649865,0.000861545,0.000000000,0.002631579
0.249437444,0.000861545,0.000000000,0.002631579
0.250225023,0.000861545,0.000000000,0.002631579
0.251012601,0.000861545,0.000000000,0.002631579
0.251800180,0.000861545,0.000000000,0.002631579
